Country,Product,Balance,Unit,Year,Month,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,May,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Jun,2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Jul,2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Aug,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Sep,2216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Oct,2259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Nov,2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Dec,2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Jan,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Feb,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Mar,2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Apr,2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,May,2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Jun,2565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Jul,2464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Aug,2580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Sep,2480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Oct,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Nov,2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2015,Dec,2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2016,Jan,2761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2016,Feb,2838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2016,Mar,2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2016,Apr,2706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
