Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Feb,1914
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Mar,1674
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Apr,1995
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,May,2138
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Jun,2090
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Jul,1894
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Aug,2014
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Sep,2164
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Oct,1990
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Nov,1962
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Dec,1898
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Jan,1852
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Feb,1783
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Mar,1971
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Apr,1789
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,May,1976
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Jun,2056
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Jul,1961
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Aug,2186
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Sep,2028
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Oct,1996
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Nov,1812
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2016,Dec,1857
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Jan,1707
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Feb,1848
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Mar,1821
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Apr,2040
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,May,1931
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Jun,1954
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Jul,2145
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Aug,2008
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Sep,2145
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Oct,1945
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Nov,1855
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2017,Dec,2034
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Jan,1731
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Feb,1591
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Mar,1848
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Apr,1652
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,May,2100
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Jun,2128
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Jul,1841
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Aug,1932
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Sep,1906
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Oct,1828
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2018,Nov,1772
