Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Apr,1099
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,May,1457
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Jun,1087
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Jul,903
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Aug,1017
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Sep,1027
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Oct,1217
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Nov,1068
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Dec,1213
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Jan,1170
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Feb,1230
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Mar,1109
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Apr,1216
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,May,1286
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Jun,1358
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Jul,1323
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Aug,1447
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Sep,1324
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Oct,1430
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Nov,1553
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2021,Dec,1670
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Jan,1416
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Feb,1695
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Mar,1488
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Apr,1473
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,May,1527
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Jun,1599
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Jul,1429
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Aug,1403
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Sep,1445
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Oct,1582
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Nov,1178
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2022,Dec,1400
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2023,Jan,1266
